order,seasonal_order,MAPE,RMSE,MAPA (%)
"(2, 1, 1)","(0, 1, 0, 12)",0.0049,112297924.27,99.51
"(2, 1, 1)","(0, 1, 1, 12)",0.0043,97071354.39,99.57
"(2, 1, 1)","(1, 0, 0, 12)",0.0049,96458197.71,99.51
"(2, 1, 1)","(1, 0, 1, 12)",0.0048,97159826.13,99.52
"(2, 1, 1)","(1, 1, 0, 12)",0.0046,106509014.37,99.54
"(2, 1, 1)","(1, 1, 1, 12)",0.0046,106960420.22,99.54
"(2, 1, 2)","(0, 0, 0, 12)",0.0225,400776303.65,97.75
"(2, 1, 2)","(0, 0, 1, 12)",0.0194,344722293.36,98.06
"(2, 1, 2)","(0, 1, 0, 12)",0.0048,109603830.48,99.52
"(2, 1, 2)","(0, 1, 1, 12)",0.0044,100651633.82,99.56
"(2, 1, 2)","(1, 0, 0, 12)",0.0049,96416114.54,99.51
"(2, 1, 2)","(1, 0, 1, 12)",0.0048,94514744.9,99.52
"(2, 1, 2)","(1, 1, 0, 12)",0.0045,105493467.27,99.55
"(2, 1, 2)","(1, 1, 1, 12)",0.0043,102162916.06,99.57
"(2, 2, 0)","(0, 0, 0, 12)",0.0398,745332855.54,96.02
"(2, 2, 0)","(0, 0, 1, 12)",0.0408,755773201.54,95.92
"(2, 2, 0)","(0, 1, 0, 12)",0.0265,482599552.57,97.35
"(2, 2, 0)","(0, 1, 1, 12)",0.0268,486176629.74,97.32
"(2, 2, 0)","(1, 0, 0, 12)",0.0192,351602700.39,98.08
"(2, 2, 0)","(1, 0, 1, 12)",0.021,383097477.58,97.9
"(2, 2, 0)","(1, 1, 0, 12)",0.0421,743719967.28,95.79
"(2, 2, 0)","(1, 1, 1, 12)",0.0423,749633384.63,95.77
"(2, 2, 1)","(0, 0, 0, 12)",0.0402,752660902.03,95.98
"(2, 2, 1)","(0, 0, 1, 12)",0.0342,649426451.43,96.58
"(2, 2, 1)","(0, 1, 0, 12)",0.0265,482141657.39,97.35
"(2, 2, 1)","(0, 1, 1, 12)",0.015,278649941.44,98.5
"(2, 2, 1)","(1, 0, 0, 12)",0.0193,353551600.61,98.07
"(2, 2, 1)","(1, 0, 1, 12)",0.0211,384454694.87,97.89
"(2, 2, 1)","(1, 1, 0, 12)",0.0419,740523994.9,95.81
"(2, 2, 1)","(1, 1, 1, 12)",0.042,743643483.87,95.8
"(2, 2, 2)","(0, 0, 0, 12)",0.0575,1025055442.42,94.25
"(2, 2, 2)","(0, 0, 1, 12)",0.0219,471479862.41,97.81
"(2, 2, 2)","(0, 1, 0, 12)",0.0266,484202399.7,97.34
"(2, 2, 2)","(0, 1, 1, 12)",0.0068,141335644.66,99.32
"(2, 2, 2)","(1, 0, 0, 12)",0.0197,361255179.97,98.03
"(2, 2, 2)","(1, 0, 1, 12)",0.021,384553996.04,97.9
"(2, 2, 2)","(1, 1, 0, 12)",0.0452,798925260.1,95.48
"(2, 2, 2)","(1, 1, 1, 12)",0.0356,632079376.91,96.44
